Data,horario,Nome,Endereco,Link
05/09/2026,14:00,Grupo Baraká,"CÉU Jaçanã",https://xdevilsonx.github.io/sbmc/imagens/050926_batizado_baraka.jpeg
06/09/2026,10:00,Ginda da Mata,"Av. Natan Chaves, Centro, Tapiraí - SP",https://xdevilsonx.github.io/sbmc/imagens/060926_encontro_ginga_da_mata.jpeg
08/11/2026,10:00,Baobá,"",https://xdevilsonx.github.io/sbmc/imagens/081126_troca_de_corda_baoba.jpeg
13/09/2026,13:00,Oju Oluaye,"R. Pombal, 70, Jd. São Paulo, Guarulhos - SP",https://xdevilsonx.github.io/sbmc/imagens/130926_batizado_oju_oluaye.jpeg
19/09/2026,17:00,Pescadores,"Grêmio Esportivo Atibaiense",https://xdevilsonx.github.io/sbmc/imagens/190926_pescadores.jpeg
28/08/2026,,E.C.E Brasil,"",https://xdevilsonx.github.io/sbmc/imagens/280826_batizado_ece_brasil.jpeg
29/08/2026,,E.C.E Brasil,"",https://xdevilsonx.github.io/sbmc/imagens/280826_batizado_ece_brasil.jpeg
30/08/2026,,E.C.E Brasil,"",https://xdevilsonx.github.io/sbmc/imagens/280826_batizado_ece_brasil.jpeg
19/09/2026,,Aruande,"",https://xdevilsonx.github.io/sbmc/imagens/190926_formatura_aruande.png
25/09/2026,20:00,Arte Negra,"R. Anastácio, 34, Conj. Res. Paes de Barros, Guarulhos - SP",https://xdevilsonx.github.io/sbmc/imagens/250926_formatura_arte_negra.png
26/09/2026,10:00,Arte Negra,"R. Pte. Branca, 63, Conj. Res. Paes de Barros, Guarulhos - SP",https://xdevilsonx.github.io/sbmc/imagens/250926_formatura_arte_negra.png
19/09/2026,13:00,São Bento Me Chama,"R. Dr. José Augusto de Souza e Silva, S/N, Jd. Parque Morumbi, São Paulo - SP",https://xdevilsonx.github.io/sbmc/imagens/190926_roda_sbmc_ceu_paraisopolis.jpeg
17/10/2026,14:00,Guerreiros de Zumbi,"CÉU Jambeiro, Guaianases - SP",https://xdevilsonx.github.io/sbmc/imagens/171026_batizado_guerreiros_de_zumbi.jpeg
05/09/2026,,Ansia de Liberdade,"Tiros - MG",https://xdevilsonx.github.io/sbmc/imagens/03_a_060926_ansia_de_liberdade.jpeg
06/09/2026,,Ansia de Liberdade,"Tiros - MG",https://xdevilsonx.github.io/sbmc/imagens/03_a_060926_ansia_de_liberdade.jpeg
03/09/2026,19:00,RAKING,"R. do Esporte, 219, Jd. Guaracy, Guarulhos - SP",https://xdevilsonx.github.io/sbmc/imagens/030926_raking.jpeg
20/09/2026,10:00,Raizes da Arte Negra,"Praça Estrela, Cidade Soberana, Guarulhos - SP",https://xdevilsonx.github.io/sbmc/imagens/200926_raizes_arte_negra.jpeg
24/01/2027,10:00,Tocaia,"CÉU Jambeiro, Guaianases - SP",https://xdevilsonx.github.io/sbmc/imagens/240127_tocaia.jpeg
26/09/2026,10:00,Brincante,"R. Marques de Santo Amaro, 49, Vila Alpina, São Paulo - SP",https://xdevilsonx.github.io/sbmc/imagens/260926_brincante.jpeg
27/09/2026,,Me Leva Me Trás,"Campo Limpo - SP",https://xdevilsonx.github.io/sbmc/imagens/270926_meleva.jpeg
